filepath,filename,label
dataset\60d01e4ecb62764ca5386287\scraped_cYaeHl_1623699191410.jpeg,scraped_cYaeHl_1623699191410.jpeg,FrontLeft
dataset\625e744db098d00d5a42a07f\scraped_dnhVJR_1649431389166.jpg,scraped_dnhVJR_1649431389166.jpg,FrontLeft
dataset\625e744cb098d00d5a42a07b\scraped_r7s2PH_1649428458861.jpg,scraped_r7s2PH_1649428458861.jpg,FrontLeft
dataset\60f02861cb62764ca538e095\KHpNRkUTTr_1626786730953.JPG,KHpNRkUTTr_1626786730953.JPG,FrontLeft
dataset\629066b62be4ea4a1515d238\scraped_g2W4C8_1653455484077.jpg,scraped_g2W4C8_1653455484077.jpg,FrontRight
dataset\604866afbaef3f56aa246a7d\scraped_UoaikF_1614582577989.jpg,scraped_UoaikF_1614582577989.jpg,RearRight
dataset\625e744db098d00d5a42a07f\scraped_8Gr8XF_1649431499566.jpg,scraped_8Gr8XF_1649431499566.jpg,FrontLeft
dataset\60d01e4ecb62764ca5386286\scraped_Q75lti_1623698483338.jpeg,scraped_Q75lti_1623698483338.jpeg,Background
dataset\5f7d9e310a72c9198002c166\scraped_tSwtAe_1601881064911.jpg,scraped_tSwtAe_1601881064911.jpg,Front
dataset\617101a0d45ab471674827d3\scraped_RyygTr_1634757828031.jpg,scraped_RyygTr_1634757828031.jpg,Front
dataset\5f896d8c0a72c9198003200f\scraped_Nw2Pw6_1602748820747.jpg,scraped_Nw2Pw6_1602748820747.jpg,FrontRight
dataset\5f7d9f310a72c9198002c173\scraped_MpikxO_1601871272296.jpg,scraped_MpikxO_1601871272296.jpg,RearRight
dataset\6048a0c8baef3f56aa246b28\scraped_R8m2qE_1615048909365.jpg,scraped_R8m2qE_1615048909365.jpg,Background
dataset\625e744db098d00d5a42a07f\scraped_aHigyN_1649431227723.jpg,scraped_aHigyN_1649431227723.jpg,FrontRight
dataset\61012c667eb77b4a469eb5b1\KPrTkbBnK3_1627644864457.jpg,KPrTkbBnK3_1627644864457.jpg,FrontRight
dataset\610910057eb77b4a469ebb37\ag1xh0OfKR_1627983764536.jpg,ag1xh0OfKR_1627983764536.jpg,Front
dataset\623c0d46b098d00d5a410cc4\hMbUbY7WEG_1646890765731.jpg,hMbUbY7WEG_1646890765731.jpg,FrontRight
dataset\5e9112c35026365e15eb871b\IMG_20200219_171027_1586530540395.jpeg,IMG_20200219_171027_1586530540395.jpeg,RearRight
dataset\625e74e3b098d00d5a42a08b\scraped_H1rw2S_1649439934527.jpg,scraped_H1rw2S_1649439934527.jpg,FrontLeft
dataset\625e744db098d00d5a42a085\scraped_6iiD2C_1649435080896.jpg,scraped_6iiD2C_1649435080896.jpg,RearRight
dataset\604866afbaef3f56aa246a7d\scraped_qmswKU_1614582437650.jpg,scraped_qmswKU_1614582437650.jpg,RearRight
dataset\5f4dd0caf0b0b46649993480\scraped_Fqh2qS_1598933873349.jpg,scraped_Fqh2qS_1598933873349.jpg,RearLeft
dataset\6024c7995b913441612636d4\scraped_KJvfwT_1612891360109.jpg,scraped_KJvfwT_1612891360109.jpg,FrontRight
dataset\60d01e4ecb62764ca5386286\scraped_Yh9yQR_1623698078571.jpeg,scraped_Yh9yQR_1623698078571.jpeg,FrontLeft
dataset\625e74e3b098d00d5a42a08b\scraped_T34PIy_1649444865389.jpg,scraped_T34PIy_1649444865389.jpg,FrontRight
dataset\61ace3343ee1db07d39ddd78\scraped_66Psyk_1638294760371.jpg,scraped_66Psyk_1638294760371.jpg,Front
dataset\625e744cb098d00d5a42a07b\scraped_8rVuVs_1649427965842.jpg,scraped_8rVuVs_1649427965842.jpg,RearLeft
dataset\60f02861cb62764ca538e095\eiDytDvsL2_1626786723634.JPG,eiDytDvsL2_1626786723634.JPG,FrontLeft
dataset\60d01e4ecb62764ca5386286\scraped_JUN8WQ_1623698785627.jpeg,scraped_JUN8WQ_1623698785627.jpeg,FrontLeft
dataset\629066b62be4ea4a1515d238\scraped_OPWcKu_1653455587716.jpg,scraped_OPWcKu_1653455587716.jpg,RearRight
dataset\623c1488b098d00d5a410cd2\4secpLa8SC_1648015244835.jpg,4secpLa8SC_1648015244835.jpg,RearLeft
dataset\5f805e980a72c9198002c1b0\scraped_REC8wY_1601840541640.png,scraped_REC8wY_1601840541640.png,FrontLeft
dataset\5f4dd0caf0b0b46649993480\scraped_4mGUeH_1598934088125.jpg,scraped_4mGUeH_1598934088125.jpg,RearRight
dataset\629066b62be4ea4a1515d238\scraped_HV1hJ6_1653455335770.jpg,scraped_HV1hJ6_1653455335770.jpg,FrontLeft
dataset\625e744cb098d00d5a42a07b\scraped_r5ER9d_1649428401096.jpg,scraped_r5ER9d_1649428401096.jpg,RearLeft
dataset\6024c8225b913441612636d6\scraped_CF0eq3_1612868948776.jpg,scraped_CF0eq3_1612868948776.jpg,Rear
dataset\625e744cb098d00d5a42a07b\scraped_mAQqav_1649428334058.jpg,scraped_mAQqav_1649428334058.jpg,RearLeft
dataset\623c0d46b098d00d5a410cc4\PETdm2FRd4_1646890820451.jpg,PETdm2FRd4_1646890820451.jpg,Rear
dataset\629066b62be4ea4a1515d238\scraped_kqdH6D_1653455578261.jpg,scraped_kqdH6D_1653455578261.jpg,RearLeft
dataset\629066b62be4ea4a1515d238\scraped_gRTSg2_1653455604125.jpg,scraped_gRTSg2_1653455604125.jpg,FrontLeft
dataset\6024c8225b913441612636d6\scraped_7dLlHx_1612868936836.jpg,scraped_7dLlHx_1612868936836.jpg,FrontRight
dataset\6100fa057eb77b4a469eb1bd\gilkouXe6z_1627453905662.jpg,gilkouXe6z_1627453905662.jpg,FrontRight
dataset\6125c98e7eb77b4a469ef416\scraped_Xq1Idn_1627291229361.jpg,scraped_Xq1Idn_1627291229361.jpg,RearRight
dataset\61ace3343ee1db07d39ddd78\scraped_RakjH8_1638295037731.jpg,scraped_RakjH8_1638295037731.jpg,FrontRight
dataset\625e74e3b098d00d5a42a08b\scraped_mlgHPs_1649439428212.jpg,scraped_mlgHPs_1649439428212.jpg,FrontLeft
dataset\604866afbaef3f56aa246a7d\scraped_nt670X_1614582057309.jpg,scraped_nt670X_1614582057309.jpg,Rear
dataset\625e744db098d00d5a42a07f\scraped_l6MsiE_1649431555349.jpg,scraped_l6MsiE_1649431555349.jpg,FrontRight
dataset\608fa62acb62764ca53746f4\scraped_WWJBTH_1619369058286.jpg,scraped_WWJBTH_1619369058286.jpg,FrontRight
dataset\60e83e51cb62764ca538bd58\zmF0uVG3ob_1625832970582.jpg,zmF0uVG3ob_1625832970582.jpg,RearRight
dataset\60e83e51cb62764ca538bd58\BcvivwfCdo_1625833006737.jpg,BcvivwfCdo_1625833006737.jpg,RearLeft
dataset\623c1488b098d00d5a410cd2\QIPIMBrX83_1648015189691.jpg,QIPIMBrX83_1648015189691.jpg,FrontLeft
dataset\60d01e4ecb62764ca5386286\scraped_ZMMuQo_1623697810216.jpeg,scraped_ZMMuQo_1623697810216.jpeg,RearLeft
dataset\5f7d914b0a72c9198002c118\scraped_xXqg3y_1601875573483.jpg,scraped_xXqg3y_1601875573483.jpg,RearRight
dataset\623c0d46b098d00d5a410cc4\wSoY2bKyEj_1646890804663.jpg,wSoY2bKyEj_1646890804663.jpg,RearRight
dataset\623c1488b098d00d5a410cd2\LxTSZA0chy_1648015260328.jpg,LxTSZA0chy_1648015260328.jpg,RearLeft
dataset\6070519abaef3f56aa24cf3a\scraped_IA1ZPE_1617829195515.jpg,scraped_IA1ZPE_1617829195515.jpg,FrontLeft
dataset\6024c8bf5b913441612636e2\scraped_GalcvQ_1612877823949.jpg,scraped_GalcvQ_1612877823949.jpg,Rear
dataset\60d405c2cb62764ca5387abf\scraped_B78yKN_1624301543160.jpg,scraped_B78yKN_1624301543160.jpg,RearRight
dataset\625e744cb098d00d5a42a07b\scraped_hFoNvX_1649427911129.jpg,scraped_hFoNvX_1649427911129.jpg,Rear
dataset\6024c8225b913441612636d6\scraped_31vzpE_1612864967910.jpg,scraped_31vzpE_1612864967910.jpg,FrontLeft
dataset\610910057eb77b4a469ebb37\3TJwyc2QXH_1628076891105.jpg,3TJwyc2QXH_1628076891105.jpg,RearRight
dataset\5f9fc58d7b1f9f1ed7b85a11\scraped_dHB6Wj_1604262366213.jpg,scraped_dHB6Wj_1604262366213.jpg,FrontLeft
dataset\623c11efb098d00d5a410ccf\uutekzK4Mx_1646901702134.jpg,uutekzK4Mx_1646901702134.jpg,RearLeft
dataset\623c1488b098d00d5a410cd2\scraped_2dlqym_1648037329983.jpg,scraped_2dlqym_1648037329983.jpg,FrontLeft
dataset\6048a0c1baef3f56aa246b22\scraped_FQ0Blo_1615007276892.jpg,scraped_FQ0Blo_1615007276892.jpg,FrontLeft
dataset\6128ba757eb77b4a469ef522\scraped_cfvbxn_1627291280224.jpg,scraped_cfvbxn_1627291280224.jpg,Rear
dataset\60d40582cb62764ca5387ab4\scraped_slqPSD_1624383291484.jpg,scraped_slqPSD_1624383291484.jpg,RearRight
dataset\625e744db098d00d5a42a07f\scraped_Gv6mpH_1649430992189.jpg,scraped_Gv6mpH_1649430992189.jpg,FrontLeft
dataset\623c1488b098d00d5a410cd2\DIaVwS0svk_1648015352671.jpg,DIaVwS0svk_1648015352671.jpg,FrontLeft
dataset\625e744db098d00d5a42a07f\scraped_MQYONN_1649430982308.jpg,scraped_MQYONN_1649430982308.jpg,FrontRight
dataset\623c0d46b098d00d5a410cc4\78QJZljLBb_1646890726593.jpg,78QJZljLBb_1646890726593.jpg,FrontRight
dataset\5f3e735459dc8c3bea8c485f\scraped_sDF2hf_1597927414029.jpg,scraped_sDF2hf_1597927414029.jpg,RearRight
dataset\6124bc827eb77b4a469ef1c0\scraped_eF1m1o_1627287353926.jpg,scraped_eF1m1o_1627287353926.jpg,RearRight
dataset\625e744db098d00d5a42a07f\scraped_NsJ1Hd_1649431029216.jpg,scraped_NsJ1Hd_1649431029216.jpg,RearRight
dataset\5e9112c35026365e15eb871b\IMG_20200219_172235_1586530572640.jpeg,IMG_20200219_172235_1586530572640.jpeg,FrontRight
dataset\5f7d9e2c0a72c9198002c15f\scraped_HmmASz_1601831359988.jpg,scraped_HmmASz_1601831359988.jpg,FrontLeft
dataset\6070519abaef3f56aa24cf3a\scraped_Gy2mps_1617828438895.jpg,scraped_Gy2mps_1617828438895.jpg,FrontLeft
dataset\6128ba767eb77b4a469ef528\scraped_8EdYes_1629094484066.jpg,scraped_8EdYes_1629094484066.jpg,Front
dataset\5f7d91460a72c9198002c111\scraped_QbHw5Z_1601847344351.jpg,scraped_QbHw5Z_1601847344351.jpg,FrontRight
dataset\623c1488b098d00d5a410cd2\gDpHEQrvy0_1648015305095.jpg,gDpHEQrvy0_1648015305095.jpg,RearRight
dataset\6024c8c25b913441612636e5\scraped_yKtbP5_1612890576510.jpg,scraped_yKtbP5_1612890576510.jpg,FrontLeft
dataset\60d40582cb62764ca5387ab4\scraped_2Iszg8_1624383335453.jpg,scraped_2Iszg8_1624383335453.jpg,Background
dataset\5f7d9f290a72c9198002c168\scraped_VCdNGw_1601831164772.jpg,scraped_VCdNGw_1601831164772.jpg,RearRight
dataset\6024c8225b913441612636d6\scraped_St7e7X_1612868749348.jpg,scraped_St7e7X_1612868749348.jpg,FrontRight
dataset\625e744db098d00d5a42a07f\scraped_mMjGXW_1649431441053.jpg,scraped_mMjGXW_1649431441053.jpg,FrontLeft
dataset\625e744cb098d00d5a42a07b\scraped_iF3wZr_1649428486546.jpg,scraped_iF3wZr_1649428486546.jpg,FrontLeft
dataset\6048965cbaef3f56aa246a82\scraped_xuMN4D_1614588020768.jpg,scraped_xuMN4D_1614588020768.jpg,Front
dataset\6113f78e7eb77b4a469ec736\Hq7WtFNEZj_1628698429320.jpg,Hq7WtFNEZj_1628698429320.jpg,FrontRight
dataset\617101a0d45ab471674827d3\scraped_iMG2fv_1634756658663.jpg,scraped_iMG2fv_1634756658663.jpg,FrontRight
dataset\5f4dd0caf0b0b46649993480\scraped_yZjxBT_1598934126971.jpg,scraped_yZjxBT_1598934126971.jpg,RearRight
dataset\623c1488b098d00d5a410cd2\BBdANhUobr_1648015235218.jpg,BBdANhUobr_1648015235218.jpg,FrontLeft
dataset\60f02861cb62764ca538e095\ZhkoEYWcwc_1626541080692.JPG,ZhkoEYWcwc_1626541080692.JPG,Rear
dataset\6048965cbaef3f56aa246a82\scraped_r0wFIQ_1614582989134.jpg,scraped_r0wFIQ_1614582989134.jpg,Rear
dataset\5f7d97090a72c9198002c121\scraped_feFNsa_1601859033761.jpg,scraped_feFNsa_1601859033761.jpg,FrontRight
dataset\61012c667eb77b4a469eb5b1\cG2n7BTdUK_1627644853609.jpg,cG2n7BTdUK_1627644853609.jpg,FrontLeft
dataset\60d405f2cb62764ca5387ac0\scraped_q98lku_1624301657225.jpg,scraped_q98lku_1624301657225.jpg,Front
dataset\5f7d9f310a72c9198002c173\scraped_f2BNQL_1601869700490.jpg,scraped_f2BNQL_1601869700490.jpg,FrontLeft
dataset\5f7d9f310a72c9198002c173\scraped_4GQfqf_1601871871141.jpg,scraped_4GQfqf_1601871871141.jpg,RearRight
dataset\61012c667eb77b4a469eb5b1\cBzQhK4qW8_1627554484311.jpg,cBzQhK4qW8_1627554484311.jpg,FrontLeft
dataset\5f7d9f2c0a72c9198002c16c\scraped_tK6i0j_1601842971189.jpg,scraped_tK6i0j_1601842971189.jpg,FrontLeft
dataset\61ace3343ee1db07d39ddd78\scraped_4xeBoq_1638297135298.jpg,scraped_4xeBoq_1638297135298.jpg,FrontRight
dataset\5f7d91460a72c9198002c111\scraped_AbY7Yn_1601848699490.jpg,scraped_AbY7Yn_1601848699490.jpg,RearLeft
dataset\5f7d9e310a72c9198002c166\scraped_SaSMMm_1601883568210.jpg,scraped_SaSMMm_1601883568210.jpg,FrontLeft
dataset\623c0d46b098d00d5a410cc4\siQrnyjEnP_1646890783217.jpg,siQrnyjEnP_1646890783217.jpg,FrontLeft
dataset\5f7d9f290a72c9198002c168\scraped_d2sl7m_1601832741736.jpg,scraped_d2sl7m_1601832741736.jpg,RearLeft
dataset\623c0d46b098d00d5a410cc4\GuGsRrzTFT_1646890798131.jpg,GuGsRrzTFT_1646890798131.jpg,FrontRight
dataset\623c0d46b098d00d5a410cc4\Yo0jPD7Zlv_1646890767510.jpg,Yo0jPD7Zlv_1646890767510.jpg,FrontRight
dataset\625e74e3b098d00d5a42a08b\scraped_BqVAwq_1649444721853.jpg,scraped_BqVAwq_1649444721853.jpg,Front
dataset\6125c98e7eb77b4a469ef416\scraped_PuTYCj_1628228753870.jpg,scraped_PuTYCj_1628228753870.jpg,Background
dataset\623c0d46b098d00d5a410cc4\WIfIIOUM8H_1646890779598.jpg,WIfIIOUM8H_1646890779598.jpg,FrontRight
dataset\623c1488b098d00d5a410cd2\teNTPK1QzX_1648015275728.jpg,teNTPK1QzX_1648015275728.jpg,Front
